+----+-----+---+-------+-------------+--------------+-------------------+---------+-------------------+----------------+--------------+---------------+-------------+-------------+-------------------+-------------+
|YEAR|MONTH|DAY|AIRLINE|FLIGHT_NUMBER|ORIGIN_AIRPORT|DESTINATION_AIRPORT|CANCELLED|CANCELLATION_REASON|AIR_SYSTEM_DELAY|SECURITY_DELAY|DEPARTURE_DELAY|ARRIVAL_DELAY|AIRLINE_DELAY|LATE_AIRCRAFT_DELAY|WEATHER_DELAY|
|2015|7    |1  |AA     |2368         |ORD           |DEN                |0        |null               |19              |0             |167            |186          |8            |159                |0            |
|2015|7    |1  |MQ     |3342         |DFW           |GRI                |0        |null               |null            |null          |-4             |1            |null         |null               |null         |
|2015|7    |1  |MQ     |3403         |DFW           |XNA                |0        |null               |0               |0             |28             |22           |6            |16                 |0            |
|2015|7    |1  |MQ     |3109         |SGF           |ORD                |0        |null               |null            |null          |-5             |-7           |null         |null               |null         |
|2015|7    |1  |EV     |5782         |IAH           |BRO                |0        |null               |37              |0             |82             |119          |0            |0                  |82           |
|2015|7    |1  |WN     |1257         |DCA           |HOU                |0        |null               |null            |null          |-4             |-6           |null         |null               |null         |
|2015|7    |1  |EV     |4361         |MSP           |EWR                |0        |null               |null            |null          |-7             |-26          |null         |null               |null         |
|2015|7    |1  |WN     |355          |DAL           |OAK                |0        |null               |null            |null          |1              |-15          |null         |null               |null         |
|2015|7    |1  |WN     |851          |CMH           |MDW                |0        |null               |1               |0             |54             |55           |9            |45                 |0            |
|2015|7    |1  |WN     |1445         |BWI           |BDL                |0        |null               |null            |null          |1              |0            |null         |null               |null         |
|2015|7    |1  |WN     |5363         |ATL           |FLL                |0        |null               |null            |null          |15             |7            |null         |null               |null         |
|2015|7    |1  |WN     |2606         |ALB           |BWI                |0        |null               |null            |null          |-2             |-7           |null         |null               |null         |
|2015|7    |1  |WN     |3147         |SLC           |LAS                |0        |null               |null            |null          |16             |10           |null         |null               |null         |
|2015|7    |1  |WN     |2954         |SFO           |PHX                |0        |null               |12              |0             |19             |31           |0            |19                 |0            |
|2015|7    |1  |F9     |1163         |CLE           |MCO                |0        |null               |0               |0             |36             |18           |0            |18                 |0            |
|2015|7    |1  |OO     |4584         |RAP           |MSP                |0        |null               |null            |null          |4              |-8           |null         |null               |null         |
|2015|7    |1  |AA     |2232         |SJC           |DFW                |0        |null               |null            |null          |-5             |-2           |null         |null               |null         |
|2015|7    |1  |AA     |1390         |ORD           |LGA                |0        |null               |null            |null          |-2             |-26          |null         |null               |null         |
|2015|7    |1  |AA     |1345         |DFW           |JFK                |0        |null               |0               |0             |39             |20           |20           |0                  |0            |
|2015|7    |1  |AA     |1235         |DFW           |DSM                |0        |null               |null            |null          |14             |10           |null         |null               |null         |
|2015|7    |1  |AA     |250          |TPA           |MIA                |0        |null               |null            |null          |-12            |-17          |null         |null               |null         |
|2015|7    |1  |AA     |862          |MCO           |DCA                |0        |null               |null            |null          |-6             |-6           |null         |null               |null         |
|2015|7    |1  |AA     |1997         |PHL           |MSY                |0        |null               |0               |0             |117            |117          |117          |0                  |0            |
|2015|7    |1  |WN     |3052         |DEN           |SLC                |0        |null               |null            |null          |19             |13           |null         |null               |null         |
|2015|7    |1  |MQ     |3711         |ORD           |CMH                |0        |null               |null            |null          |27             |11           |null         |null               |null         |
|2015|7    |1  |NK     |921          |LGA           |MYR                |0        |null               |null            |null          |1              |2            |null         |null               |null         |
|2015|7    |1  |UA     |1152         |LAS           |ORD                |0        |null               |null            |null          |-5             |-8           |null         |null               |null         |
|2015|7    |1  |WN     |573          |PHX           |SJC                |0        |null               |null            |null          |-6             |-18          |null         |null               |null         |
|2015|7    |1  |WN     |664          |LAS           |PHX                |0        |null               |null            |null          |-1             |-10          |null         |null               |null         |
|2015|7    |1  |WN     |2161         |IND           |BWI                |0        |null               |null            |null          |-2             |-11          |null         |null               |null         |
|2015|7    |1  |WN     |286          |HOU           |ATL                |0        |null               |11              |0             |88             |99           |0            |17                 |71           |
|2015|7    |1  |WN     |376          |DTW           |BWI                |0        |null               |0               |0             |26             |25           |6            |19                 |0            |
|2015|7    |1  |MQ     |3504         |PIT           |ORD                |0        |null               |null            |null          |-9             |-30          |null         |null               |null         |
|2015|7    |1  |WN     |559          |DEN           |SFO                |0        |null               |null            |null          |0              |-17          |null         |null               |null         |
|2015|7    |1  |WN     |901          |DEN           |SAN                |0        |null               |null            |null          |-7             |-18          |null         |null               |null         |
|2015|7    |1  |WN     |4468         |SAN           |OAK                |0        |null               |null            |null          |-1             |-19          |null         |null               |null         |
|2015|7    |1  |EV     |4136         |CMH           |IAH                |0        |null               |null            |null          |7              |8            |null         |null               |null         |
|2015|7    |1  |UA     |1272         |MIA           |IAH                |0        |null               |16              |0             |3              |16           |0            |0                  |0            |
|2015|7    |1  |UA     |1076         |SFO           |BOS                |0        |null               |null            |null          |0              |-15          |null         |null               |null         |
|2015|7    |1  |UA     |652          |PHX           |DEN                |0        |null               |null            |null          |5              |4            |null         |null               |null         |
|2015|7    |1  |DL     |1121         |CVG           |ATL                |0        |null               |null            |null          |-3             |-7           |null         |null               |null         |
|2015|7    |1  |DL     |346          |SEA           |SLC                |0        |null               |null            |null          |-2             |-13          |null         |null               |null         |
|2015|7    |1  |AA     |1525         |PDX           |DFW                |0        |null               |null            |null          |-2             |-15          |null         |null               |null         |
|2015|7    |1  |WN     |691          |DEN           |OKC                |0        |null               |null            |null          |3              |-5           |null         |null               |null         |
|2015|7    |1  |DL     |1151         |MSP           |SFO                |0        |null               |null            |null          |-1             |-6           |null         |null               |null         |
|2015|7    |1  |EV     |5582         |CRW           |ATL                |0        |null               |null            |null          |9              |12           |null         |null               |null         |
|2015|7    |1  |WN     |699          |SAN           |SMF                |0        |null               |null            |null          |12             |7            |null         |null               |null         |
|2015|7    |1  |WN     |8            |SAT           |ELP                |0        |null               |null            |null          |1              |3            |null         |null               |null         |
|2015|7    |1  |WN     |5699         |SDF           |BWI                |0        |null               |null            |null          |1              |-3           |null         |null               |null         |
|2015|7    |1  |DL     |2122         |BDL           |DTW                |0        |null               |null            |null          |-9             |-16          |null         |null               |null         |
|2015|7    |1  |DL     |1589         |FLL           |ATL                |0        |null               |null            |null          |-2             |-20          |null         |null               |null         |
|2015|7    |1  |AA     |1398         |DFW           |MCO                |0        |null               |null            |null          |-4             |-14          |null         |null               |null         |
|2015|7    |1  |DL     |1386         |ATL           |LGA                |0        |null               |null            |null          |-4             |-7           |null         |null               |null         |
|2015|7    |1  |DL     |1382         |DEN           |ATL                |0        |null               |5               |0             |16             |21           |0            |16                 |0            |
+----+-----+---+-------+-------------+--------------+-------------------+---------+-------------------+----------------+--------------+---------------+-------------+-------------+-------------------+-------------+
only showing top 100 rows
